H_mean,S_mean,V_mean,H_skewness,S_skewness,V_skewness,H_entropy,S_entropy,V_entropy,H_std,S_std,V_std,label
112.91855597001127,25.08363048799639,233.55656095884785,-8.984022207506861,5.166387546214092,-5.1161589045403355,15.930702644498222,15.77792299193159,15.926207776791788,8.421821485135748,18.594423598736572,27.223275108300353,Skala0
102.019578,6.076716,239.601118,-2.9363373581030325,8.82264721305122,-5.0480202604845585,13.755722177959276,13.16087111654033,13.811460523045744,26.847180870659695,12.5645068608101,19.617937076820184,Skala0
107.860592,49.0718,219.021018,-4.309712018620527,5.6068990375272385,-4.171040922373038,13.813757095691846,13.791266968544832,13.794408418139462,6.033220981327968,12.621105290742168,37.30151042844882,Skala0
107.70769,42.995309,214.469718,-6.700318985953772,4.903320799582324,-3.790740520879237,13.812133399841391,13.777719064295962,13.802779288705777,7.833227359390254,13.849443923656972,30.174434791731827,Skala0
111.50719,21.193654,218.849183,-5.2028966563241195,5.463856219315844,-4.667438088680356,13.812049163304355,13.625899955981549,13.804733534989486,8.537048922426296,18.484920019526296,27.96929636641778,Skala0
108.038949,60.611979,215.771037,-4.856087277930313,6.032161735782923,-5.445500303143069,13.815071595350084,13.797208389057857,13.80763846270894,3.1013822685052883,13.46004631134525,23.438089148747405,Skala0
106.80822,59.647382,222.083563,-7.148705246889149,4.952062990441796,-4.262091461029934,13.814104394986334,13.792053561402486,13.797584048660035,5.119231820459004,14.74859113766722,35.32331190906412,Skala0
107.996451,29.738549,208.407406,-4.0932570351576505,4.1293093972275745,-3.400517294425626,13.810632385387226,13.706742972972421,13.79906889478505,9.855798821232048,17.00781045210109,33.17868162466923,Skala0
113.056509,21.169357,244.715136,-2.5196772734805837,6.716357355274418,-5.477541060333472,13.81438415697075,13.602129925477238,13.806561174434536,5.2542053379097196,20.271601051879223,27.985896099669638,Skala0
109.892129,19.040806,213.416729,-4.86508934247027,5.730866787362509,-3.352931789778495,13.81207247867908,13.678460789362331,13.801484470368901,8.440536052133119,13.632822630341966,31.617639316377797,Skala0
114.022731,23.685361,239.686348,-4.725793940113069,7.291319760570389,-4.920200258296373,13.814655697622214,13.705749706280994,13.805629829054904,4.547602478409805,15.648961157203983,29.100253408224745,Skala0
112.455944,16.323041,243.537488,-8.129878842875767,6.967305726603983,-6.34001617673628,13.809262459960282,13.618278013590418,13.811688695052089,9.76805288012222,15.362611155409713,19.120008071385747,Skala0
110.050391,15.601912,221.263181,-5.120774601661049,6.832294426369674,-4.1375170170616835,13.810022427015852,13.62087907946071,13.804684592680307,10.360352781016626,14.628958334216968,28.45538614676032,Skala0
111.560365,29.562976,222.175574,-6.039623323788866,6.186830816545571,-4.569168734817138,13.81338809428752,13.725160979261682,13.801731403188422,6.702177561567211,16.772341459182858,31.402179729606736,Skala0
109.506945,19.164972,217.255343,-4.405128166381283,6.354274478069867,-3.7737330330026384,13.810130723209824,13.614527886983154,13.802596600358735,10.377836757579828,17.71586634176314,30.553046966748685,Skala0
110.399462,19.919798,228.673158,-3.766303760879328,4.847710396386543,-5.001517875577789,13.812093205020496,13.717391994218895,13.807706582548873,8.576529491032838,10.636144773328164,25.038318999226693,Skala0
115.066169,26.036258,219.686841,-5.867443222786589,6.046379443924561,-4.752545535170519,13.814450702639746,13.724460629792363,13.803488762736311,4.990077220187979,14.730769068770172,29.043107795838914,Skala0
112.010511,20.469913,234.281629,-7.29490602149647,6.903684598220219,-6.33199822789859,13.814277014681748,13.687369486845407,13.806884198108106,5.009737370249963,14.666665427847983,25.823167894477223,Skala0
107.34392,21.407049,241.985929,-0.7381135536374459,6.489685473294639,-6.2991244580887145,13.815063848111622,13.587797497141546,13.808128780636382,3.165026545481096,22.260708481798122,25.138832848940286,Skala0
112.94951,19.606555,224.283399,-7.450525365123099,7.098249052199386,-5.156667536162159,13.81426119200303,13.72267060811404,13.804279571863702,5.224168331887861,11.651276497962574,28.37287842300811,Skala0
110.143423,15.665787,224.898421,-5.254185465222947,6.270202734947485,-4.808743016786406,13.811158274664372,13.606953608105995,13.802400101917005,9.258217800585113,14.79309530391226,30.877972289429227,Skala0
